ticker1,ticker2,coint_t,pvalue,crit_1pct,crit_5pct,crit_10pct,cointegrated_5pct,collinear,spread_std
A,ACAD,-3.681727058985724,0.01934026887625954,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.782094189573666
A,ACT,-3.6273304237186217,0.022656806851811873,-3.906342733760421,-3.341645105851704,-3.048276557853971,True,False,13.267350068250932
A,ALEX,-3.4110924999393326,0.0411332872090534,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.721291604748432
A,APLE,-3.5853910824628543,0.02553980506940828,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.584665704227216
A,ARI,-3.4116843414783644,0.0410691739975352,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,16.316412167998724
A,AUB,-3.6884114085303783,0.018963474430878768,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.556816114285978
A,AVY,-3.5205818803589066,0.030613947428942828,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,11.619097156987296
A,BBT,-3.6936497353639948,0.018672685868952807,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.8831822178872
A,BFS,-3.5017942312735344,0.03223666488711037,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,16.82026041168919
A,CRSR,-3.424732019527701,0.03967681746589116,-3.9045348561403053,-3.3406396841525914,-3.047579207890638,True,False,14.697182479520455
A,DRH,-4.162437196038318,0.00415571151709801,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,16.483619526253218
A,FHB,-3.3993278176134907,0.0424251837341369,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,16.001820751729923
A,FRT,-3.856341567221972,0.011383594289044372,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.117431783399157
A,GIII,-3.51909945836283,0.03073940834352795,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,17.870244114086322
A,HOPE,-3.5121628354796735,0.03133230443990112,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,16.248359452985838
A,HSIC,-3.4689674828889085,0.03524729974974979,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.996905799141715
A,HTH,-3.370758612650909,0.045703681926963884,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,13.297086416301868
A,IEX,-3.3557819668541757,0.047504582889812706,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,13.209517639963066
A,JXN,-3.5969869481041763,0.024712696921967883,-3.90625399604364,-3.3415957706956214,-3.0482423420390825,True,False,13.781061772616438
A,LKFN,-3.595780796756588,0.024797639568163842,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,13.785012806052565
A,MGM,-3.7260734813889917,0.016958005449680805,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.258875906660199
A,MORT,-3.355370567901972,0.04755486839611771,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,18.81550687487186
A,MTD,-3.6539985339914667,0.02097387528809102,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,7.675608545302838
A,MTX,-3.3683526518698166,0.045989119135558414,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.714513489421595
A,NAVI,-3.5230056663608007,0.030409756251605052,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,13.429439957767975
A,NBHC,-3.4772960017927095,0.03446182243516487,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.917027297321953
A,OXY,-3.7247892101660636,0.01702320164008413,-3.905698152589656,-3.341286705692324,-3.048027987709335,True,False,15.06868499459672
A,PFS,-3.385089486342069,0.044033771999382326,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.992315677931742
A,PRKS,-3.3369422161865567,0.049852867279509286,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.310484591729375
A,PRSU,-3.451649305878918,0.03692907845913746,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,19.845295308952757
A,SBSI,-3.476854299185574,0.03450310536908177,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,16.42669230799147
A,SHO,-3.7879685785082144,0.014064687743066965,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,18.349989737666935
A,SHOO,-3.927153608209955,0.009095978184371273,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.119385420295467
A,SLVM,-3.7371400873414977,0.016405223484287513,-3.9063877071190403,-3.341670108925383,-3.0482938983406846,True,False,13.104922102425885
A,SNOW,-3.373497721559207,0.045380509713866944,-3.9045109942690313,-3.3406264094939444,-3.04757,True,False,14.474280743814305
A,SPXU,-3.5784094671143403,0.026049190135290046,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.084529159257455
A,SQQQ,-3.3662486382160877,0.04623994292646836,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.841626976426348
A,SW,-3.370038620831181,0.04578894561870162,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.920472463849448
A,SYY,-3.564679890615882,0.027076422158986393,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.676887376093383
A,UCB,-3.3444831543481275,0.04890170228550414,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.235829944845921
A,UHT,-3.3492950220542093,0.04830261868370539,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,17.231968131255222
A,UVXY,-4.162365291808301,0.004156742873786875,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.5781516715108
A,VRTS,-3.3502019686043822,0.04819038366129657,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,12.229098239396526
A,VXX,-3.4722559299200917,0.03493537260673902,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,14.704624157379168
A,WAFD,-3.7389642194908173,0.016315642690578436,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,15.917664330708996
A,XHR,-3.903151892741156,0.009820512384682713,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,17.59413530609988
AAMI,AL,-4.2565126397549475,0.002990175057258652,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,4.376948591624856
AAMI,ALLE,-3.6397907976991437,0.02185644735506737,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,4.6152105970312585
AAMI,C,-3.932973658011536,0.008927672258033712,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,4.6873909733374655
AAMI,CFG,-3.3632110026583,0.046604062864473536,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,4.602815722472133
AAMI,CSCO,-3.866409775860035,0.011029831844105864,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,4.082960586142328
AAMI,DGX,-3.7143836751799597,0.017559593965705448,-3.903570399561583,-3.340103056139253,-3.047206963860569,True,False,4.491201913716533
